TradeID,Symbol,Side,Volume,OpenDate,OpenTime,CloseDate,CloseTime,EntryPrice,ExitPrice,SL,TP,Pips,DurationMinutes,Commission,Swap,PnL,Playbook,Notes
42870119,GBPUSD,buy,0.03,2025-08-11,13:17:09,2025-08-11,14:24:12,1.34564,1.34361,1.34369,1.35123,-20.3,67,-0.12,0,-6.09,,
42970551,GBPUSD,sell,0.03,2025-08-12,12:30:02,2025-08-12,15:30:06,1.34564,1.34867,1.34863,1.33773,-30.3,180,-0.12,0,-9.09,,
43645767,GBPUSD,sell,0.03,2025-08-20,16:00:00,2025-08-21,10:04:15,1.34887,1.34363,1.35039,1.34365,52.4,1084,-0.12,0,15.72,,
43730169,GBPUSD,sell,0.03,2025-08-21,13:00:01,2025-08-21,17:01:06,1.34741,1.34251,1.3494,1.3424,49.0,241,-0.12,0,14.7,,
44073178,GBPUSD,buy,0.03,2025-08-26,16:38:58,2025-08-27,00:05:00,1.34775,1.34605,1.34624,1.35225,-17.0,446,-0.12,0,-5.1,,
46037409,GBPUSD,buy,0.01,2025-09-18,17:15:07,2025-09-19,09:20:46,1.35665,1.35129,1.35135,1.37075,-53.6,966,-0.04,0,-5.36,,
47068246,GBPUSD,sell,0.03,2025-10-01,15:04:04,2025-10-01,15:17:31,1.34795,1.35021,1.35021,1.34059,-22.6,13,-0.12,0,-6.78,,
47707192,GBPUSD,sell,0.01,2025-10-08,18:00:17,2025-10-09,17:53:06,1.3421,1.33262,1.34282,1.33264,94.8,1433,-0.04,0,9.48,,
49421269,GBPUSD,buy,0.01,2025-10-28,17:48:59,2025-10-29,09:04:35,1.32698,1.32312,1.32312,1.33893,-38.6,916,-0.04,0,-3.86,,
50231819,GBPUSD,sell,0.01,2025-11-06,16:00:00,2025-11-06,20:35:54,1.31077,1.31396,1.31394,,-31.9,276,-0.04,0,-3.19,,
50550330,GBPUSD,buy,0.01,2025-11-11,11:30:00,2025-11-12,15:31:19,1.3128,1.3103,1.31032,1.32088,-25.0,1681,-0.04,0,-2.5,,
52115820,GBPUSD,sell,0.02,2025-11-25,10:45:17,2025-11-25,11:44:28,1.31156,1.31388,1.31388,,-23.2,59,-0.08,0,-4.64,,
55368961,GBPUSD,sell,0.02,2025-12-17,18:59:45,2025-12-18,15:30:02,1.33896,1.34371,1.34237,1.32657,-47.5,1230,-0.08,0,-9.5,,
